,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,n_cells,highly_variable,means,dispersions,dispersions_norm
Ppp1r42,False,189,0.03982883475971034,96.88940092165899,242,189,True,0.04710579593487832,0.7166791830583494,0.9023738
Ly96,False,1211,0.30710994075049375,80.06912442396313,1866,1211,True,0.2904996692683483,0.7267916136878785,0.93788946
Tram2,False,308,0.06138907175773535,94.93087557603687,373,308,True,0.06119059140941792,0.6242990329479098,0.577927
Ogfrl1,False,1435,0.3576366030283081,76.38248847926268,2173,1435,True,0.36234062680019913,0.8684234656796251,0.6964069
Lmbrd1,False,1219,0.24506254114549045,79.93745885450954,1489,1219,True,0.26758877738531395,0.6212373164433814,0.567174
Ptp4a1,False,2339,0.631336405529954,61.504279131007245,3836,2339,True,0.6060214424780974,0.9373688891163684,0.89668745
Aff3,False,443,0.08015141540487163,92.70901909150757,487,443,True,0.10215679216979213,0.6172121662435787,0.55303735
Gm16152,False,567,0.10401579986833442,90.66820276497695,632,567,True,0.14262883258268544,0.6718031829493551,0.7447655
Tbc1d8,False,409,0.09973666886109282,93.26859776168533,606,409,True,0.08877210301964647,0.7371642580943972,0.97431904
Rnf149,False,2485,0.9124423963133641,59.101382488479274,5544,2485,True,0.747335422775219,1.2167503766620376,0.88295895
Il1r2,False,2271,1.163429888084266,62.62343647136274,7069,2271,True,1.0229895388271841,2.099023575440249,1.7287568
Il18r1,False,834,0.173963133640553,86.27386438446347,1057,834,True,0.20376703671055896,0.7110840751751354,0.8827233
Il18rap,False,859,0.16161948650427913,85.862409479921,982,859,True,0.19741131588984,0.6062378276004498,0.5144946
Slc40a1,False,1248,0.4479921000658328,79.4601711652403,2722,1248,True,0.4635131568830447,1.5594824303722299,2.7038743
Pgap1,False,307,0.05727452271231073,94.94733377221857,348,307,True,0.07127545903428513,0.6522990566606555,0.6762654
Coq10b,False,1194,0.2414417379855168,80.34891375905201,1467,1194,True,0.2835692073363271,0.7610825958436702,1.0583222
Cd28,False,1799,0.5161290322580645,70.39170506912443,3136,1799,True,0.505486463071661,0.9760628202750992,1.0090901
Gm11579,False,105,0.021395655036208033,98.27188940092167,130,105,True,0.029417612130934113,0.8882534587563601,1.5049568
Ctla4,False,57,0.01184990125082291,99.06188281764318,72,57,True,0.01524591838277013,0.7215812684424736,0.9195903
Icos,False,474,0.09743252139565503,92.19881500987492,592,474,True,0.12111912173796156,0.890546492147791,1.5130101
Klf7,False,1113,0.2228439763001975,81.68202764976958,1354,1113,True,0.2511995077126162,0.6333049185744521,0.60955644
Plekhm3,False,566,0.1152073732718894,90.68466096115866,700,566,True,0.12553807484041568,0.6588204390345785,0.69916904
Idh1,False,776,0.238973008558262,87.22843976300197,1452,776,True,0.17956381080425238,0.7383809527326253,0.97859216
Ikzf2,False,574,0.2259710335747202,90.55299539170507,1373,574,True,0.2626982272265466,1.8016557698612088,4.7129016
Fn1,False,219,0.11076366030283082,96.39565503620803,673,219,True,0.059625125700685476,1.1886417479268832,2.5599453
Rufy4,False,406,0.08640552995391705,93.31797235023042,525,406,True,0.13892034871269304,1.0193395934955964,1.9653422
Cxcr2,False,2233,1.4614878209348254,63.24884792626728,8880,2233,True,1.2368147948417534,2.185998078389758,1.8688306
Cxcr1,False,254,0.0608953258722844,95.81961816984858,370,254,True,0.10057787457541427,1.393933175743875,3.280946
Slc11a1,False,1409,0.5192560895325873,76.81040157998683,3155,1409,True,0.4148667585309192,0.9889470947143207,1.0465177
Farsb,False,1166,0.24621461487820934,80.80974325213957,1496,1166,True,0.25228336589236167,0.6080140887659921,0.52073294
Ap1s3,False,459,0.08624094799210007,92.4456879526004,524,459,True,0.0962101603435829,0.607471781090216,0.51882833
Serpine2,False,54,0.012508229098090849,99.11125740618829,76,54,True,0.013168143097692613,0.8842237710359356,1.4908042
Pid1,False,667,0.26991441737985516,89.0223831468071,1640,667,True,0.19161145033805704,1.1450133551393873,2.406719
C130026I21Rik,False,592,0.12853851217906517,90.2567478604345,781,592,True,0.15240937460538628,0.797268013595982,1.1854084
A530032D15Rik,False,877,0.2042462146148782,85.56616194865043,1241,877,True,0.22720095666311171,0.8774058859293242,1.4668592
A530040E14Rik,False,534,0.11652402896642527,91.21132323897301,708,534,True,0.13108088409088414,0.8315574105450022,1.3058356
A630001G21Rik,False,1095,0.2230085582620145,81.97827518104016,1355,1095,True,0.23478811600649555,0.6026457180464208,0.5018788
Sag,False,165,0.03554970375246873,97.28439763001975,216,165,True,0.03933631158476959,1.2568302755341758,2.7994292
Agap1,False,120,0.02106649111257406,98.02501645819618,128,120,True,0.02705756063426157,0.6142260952754096,0.54255
Hdac4,False,915,0.1728110599078341,84.94075049374588,1050,915,True,0.21160580825295894,0.634129722041611,0.6124532
Gpr35,False,532,0.11010533245556287,91.24423963133641,669,532,True,0.11223307534563914,0.6557919585960215,0.68853277
St8sia4,False,1484,0.36158657011191575,75.57603686635946,2197,1484,True,0.3694248774914595,0.874154732442795,0.71305573
Slco4c1,False,80,0.015635286372613563,98.68334430546412,95,80,True,0.017740021253851438,0.6629353505950816,0.71362096
Pam,False,365,0.06945358788676761,93.99275839368005,422,365,True,0.09188765683007218,0.774657061051213,1.1059968
Bcl2,False,2909,1.499341672152732,52.1231073074391,9110,2909,True,1.0923784856578136,1.667001654285872,1.0329784
Serpinb10,False,165,0.04937458854509546,97.28439763001975,300,165,True,0.03694507236270015,0.8506804329611317,1.3729973
Ralb,False,1208,0.2944371296905859,80.11849901250822,1789,1208,True,0.27949436110045944,0.6416659614966643,0.63892114
Tmem37,False,455,0.15816326530612246,92.51152073732719,961,455,True,0.11893055485597981,1.0409168814702652,2.0411234
Marco,False,95,0.03620803159973667,98.43647136273864,220,95,True,0.04423207485106741,2.9046928273922537,8.586859
Tmem163,False,206,0.040157998683344305,96.60961158657011,244,206,True,0.0538657082996726,0.7690282230797333,1.0862279
Mcm6,False,1133,0.35813034891375906,81.35286372613561,2176,1133,True,0.27958726001160017,0.7754081077614953,1.1086346
Cd55,False,770,0.15898617511520738,87.32718894009217,966,770,True,0.20551364871796757,0.9438187583574292,1.7001067
Fcmr,False,865,0.554312047399605,85.76366030283081,3368,865,True,0.6301917579922788,2.5278509892352994,3.5756135
Mapkapk2,False,1279,0.337063857801185,78.94996708360765,2048,1279,True,0.2834366424152309,0.6530321677321514,0.67884016
Ctse,False,138,0.024193548387096774,97.72876892692561,147,138,True,0.03382686323437509,0.6158549318971823,0.54827064
Rab7b,False,286,0.05826201448321264,95.29295589203424,354,286,True,0.06176486984039112,0.6048019563362159,0.5094517
Nuak2,False,750,0.15273206056616195,87.65635286372614,928,750,True,0.17788685064059526,0.7160728365314156,0.90024424
